LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Imadol, Lalitpur",29000000.0,1369.0,12.0,WEST,3.0,5.0,4.0,House,7.0,1,1,0,0,0,1,1,1,0,1,0,11
"Satdobato, Lalitpur",47500000.0,1026.75,10.0,WEST,4.5,5.0,6.0,House,7.0,2,1,0,0,0,1,1,1,0,1,0,11
"Imadol, Lalitpur",19900000.0,787.175,10.0,WEST,2.5,4.0,4.0,House,23.0,1,1,1,0,0,1,1,1,0,1,0,11
"Bhaisepati, Lalitpur",40000000.0,2395.75,12.0,NORTH-WEST,2.5,4.0,3.0,Bungalow,24.0,4,1,1,1,0,1,1,1,0,0,0,11
"Bhaisepati, Lalitpur",33000000.0,1095.2,13.0,NORTH-WEST,2.5,4.0,3.0,House,9.0,4,1,0,0,0,1,1,0,0,0,0,11
"Budhanilkantha, Kathmandu",40000000.0,1471.675,14.0,NORTH-EAST,2.5,5.0,4.0,House,18.0,1,1,1,0,0,1,1,1,0,1,0,11
Other,45000000.0,752.95,10.0,WEST,5.5,13.0,5.0,House,17.0,1,1,0,0,0,1,1,1,0,1,1,11
"Bhaisepati, Lalitpur",30000000.0,1711.25,12.0,EAST,3.0,5.0,5.0,House,8.0,2,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",49900000.0,1779.7,13.0,NORTH-EAST,3.0,6.0,5.0,House,4.0,0,1,1,0,0,1,1,0,0,0,1,11
Other,24500000.0,1026.75,16.0,SOUTH,2.5,4.0,2.0,House,13.0,0,0,1,0,1,1,1,0,0,1,1,11
"Bafal, Kathmandu",25000000.0,1369.0,13.0,SOUTH-EAST,4.0,4.0,5.0,Bungalow,5.0,0,1,1,0,0,1,1,1,0,1,0,11
"Khumaltar, Lalitpur",42500000.0,1369.0,20.0,SOUTH-EAST,2.5,4.0,4.0,House,5.0,0,1,1,0,0,1,1,0,0,0,0,11
"Bhaisepati, Lalitpur",65000000.0,2121.9500000000003,12.0,SOUTH-EAST,2.5,4.0,5.0,Bungalow,6.0,3,1,1,0,0,1,1,0,0,0,0,11
"Bhaisepati, Lalitpur",36000000.0,1437.45,13.0,SOUTH-WEST,2.5,4.0,5.0,House,6.0,1,1,1,0,0,1,1,1,0,0,0,11
"Khumaltar, Lalitpur",58000000.0,1711.25,14.0,NORTH-WEST,3.5,6.0,6.0,House,5.0,1,1,1,0,0,1,1,0,0,0,0,11
"Bhaisepati, Lalitpur",25000000.0,1095.2,12.0,SOUTH-EAST,3.5,5.0,7.0,Bungalow,5.0,3,1,1,0,1,1,1,0,0,0,1,11
"Bhaisepati, Lalitpur",48000000.0,1779.7,16.0,SOUTH-EAST,3.0,4.0,4.0,House,6.0,2,1,1,0,0,1,1,0,0,1,0,11
Other,66500000.0,1403.225,20.0,NORTH,3.0,4.0,5.0,House,6.0,2,1,1,0,0,1,1,0,0,0,0,11
"Dhapasi, Kathmandu",133000000.0,3285.6,14.0,NORTH-EAST,2.5,5.0,5.0,Bungalow,6.0,2,1,1,1,1,1,1,0,0,0,1,11
Other,85000000.0,2395.75,12.0,EAST,3.5,5.0,7.0,Villa,5.0,3,1,1,0,0,1,1,0,0,0,1,11
"Bhaisepati, Lalitpur",55000000.0,1711.25,12.0,NORTH-EAST,2.5,4.0,5.0,Bungalow,5.0,2,1,0,0,0,1,1,1,0,1,0,11
"Bhaisepati, Lalitpur",47500000.0,1060.9750000000001,20.0,SOUTH,2.5,4.0,4.0,House,8.0,1,1,1,0,1,1,1,0,0,0,1,11
"Imadol, Lalitpur",29500000.0,1095.2,13.0,SOUTH,3.0,5.0,4.0,House,8.0,1,1,0,0,0,1,1,1,0,1,0,11
"Sanepa, Lalitpur",63500000.0,1711.25,10.0,NORTH-WEST,2.5,5.0,3.0,House,5.0,0,1,0,0,0,1,1,1,0,1,0,11
"Bhaisepati, Lalitpur",85000000.0,2395.75,13.0,WEST,2.5,5.0,6.0,Bungalow,8.0,3,1,1,0,0,1,1,1,0,1,0,11
Other,105000000.0,3764.75,12.0,SOUTH,2.5,4.0,4.0,Bungalow,5.0,0,1,1,1,1,1,1,0,0,0,1,11
"Bhaisepati, Lalitpur",64000000.0,2395.75,26.0,EAST,2.5,4.0,4.0,House,8.0,3,1,1,0,1,1,1,0,0,1,1,11
"Sunakothi, Lalitpur",35000000.0,1369.0,20.0,NORTH,2.5,3.0,4.0,House,3.0,0,1,1,0,0,1,1,0,1,1,0,11
"Kapan, Kathmandu",22000000.0,1026.75,16.0,SOUTH,2.5,6.0,5.0,House,5.0,1,1,0,0,1,1,1,0,0,1,1,11
Other,37500000.0,1026.75,16.0,SOUTH,2.5,4.0,4.0,House,5.0,0,1,0,0,0,1,1,1,0,0,0,11
"Hattiban, Lalitpur",80000000.0,2053.5,20.0,SOUTH,2.0,5.0,4.0,House,5.0,0,1,1,0,0,1,1,1,0,0,0,11
"Satdobato, Lalitpur",55000000.0,1437.45,13.0,SOUTH-EAST,3.5,6.0,7.0,Bungalow,6.0,0,1,1,0,0,1,1,1,0,1,0,11
"Bhaisepati, Lalitpur",55000000.0,1129.425,13.0,SOUTH-WEST,2.5,4.0,4.0,Bungalow,8.0,1,1,1,0,0,1,1,1,0,0,0,11
"Sanepa, Lalitpur",77500000.0,3080.25,20.0,SOUTH-WEST,2.5,5.0,5.0,House,5.0,0,1,1,0,0,1,1,1,0,0,0,11
"Budhanilkantha, Kathmandu",160000000.0,4107.0,13.0,NORTH,2.5,7.0,7.0,House,9.0,0,1,1,1,1,0,1,0,0,0,1,11
"Imadol, Lalitpur",31900000.0,1403.225,13.0,SOUTH,2.5,5.0,3.0,House,5.0,0,1,1,0,1,1,1,0,0,1,1,11
"Sitapaila, Kathmandu",25000000.0,1026.75,13.0,WEST,2.5,4.0,3.0,House,9.0,2,1,1,0,1,1,1,0,0,1,1,11
Other,120000000.0,3764.75,20.0,WEST,2.5,4.0,4.0,House,3.0,0,1,1,0,0,1,1,1,1,1,0,11
"Bhaisepati, Lalitpur",62500000.0,2190.4,13.0,NORTH-WEST,2.5,5.0,6.0,Bungalow,5.0,2,1,0,0,1,1,1,0,0,0,1,11
"Budhanilkantha, Kathmandu",160000000.0,4107.0,12.0,NORTH,2.5,7.0,7.0,Bungalow,5.0,1,1,1,0,0,1,1,1,0,0,1,11
"Hattiban, Lalitpur",28000000.0,752.95,12.0,NORTH,2.5,4.0,4.0,House,5.0,1,1,1,0,0,1,1,1,0,1,0,11
"Imadol, Lalitpur",59900000.0,2395.75,20.0,EAST,2.5,,5.0,Bungalow,5.0,1,1,1,0,0,1,1,0,0,0,0,11
